vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,driver_ids
1406271868830220288,1784128618000-649034868264558592-1406271868830220288,1784128618000,1784181221000,2,999.9939999999999,259.87300000000005,3.8480103742982137,649034868264558592,1784128618000,1406271868830220288,MP09AT9990,52603000,1784181221000,685.4868959249342,1000.053,14.57222222222208,259.65412724429325,3.8514812401156604,982.3800000000047,259.65412724429325,1784128618000-649034868264558592-1406271868830220288,
1494313280225673216,1784116318000-649034868264558592-1494313280225673216,1784116318000,1784173976000,6,958.805,277.4,3.45639870223504,649034868264558592,1784116318000,1494313280225673216,MP09BL9990,57658000,1784173976000,738.2797130723854,958.954,15.991666666666333,279.65140646681266,3.4291048706518943,953.6999999999971,279.65140646681266,1784116318000-649034868264558592-1494313280225673216,
1334833185816576000,1784125622000-649034868264558592-1334833185816576000,1784125622000,1784183301000,16,915.757,267.312,3.4257983180702696,649034868264558592,1784125622000,1334833185816576000,MP09DS0999,57679000,1784183301000,707.7653016455696,914.645,16.0,268.09291728998846,3.411671629544225,955.0699999999488,268.09291728998846,1784125622000-649034868264558592-1334833185816576000,
1474016264899788800,1784112550000-649034868264558592-1474016264899788800,1784112550000,1784170203000,3,894.158,282.591,3.1641418162644954,649034868264558592,1784112550000,1474016264899788800,MP09BK9990,57653000,1784170203000,746.4088411340795,894.231,15.986388888888541,282.73062164169676,3.1628374556939747,894.7100000000064,282.73062164169676,1784112550000-649034868264558592-1474016264899788800,
1494312472553717760,1784125975000-649034868264558592-1494312472553717760,1784125975000,1784183582000,3,860.259,292.887,2.937170308002745,649034868264558592,1784125975000,1494312472553717760,Mp09AZ9990,57607000,1784183582000,773.2176427182796,860.303,15.974444444444998,292.88547072662107,2.9373358735265014,853.0400000000081,292.88547072662107,1784125975000-649034868264558592-1494312472553717760,
1151974728106246144,1784109004000-649034868264558592-1151974728106246144,1784109004000,1784166655000,1,821.159,282.631,2.9054102345461046,649034868264558592,1784109004000,1151974728106246144,MP09ZG9990,57651000,1784166655000,746.1460440456706,821.159,15.650000000001455,282.6310772900267,2.9054094400148136,880.9350000000559,282.6310772900267,1784109004000-649034868264558592-1151974728106246144,
1220369221305761792,1784136091000-649034868264558592-1220369221305761792,1784136091000,1784193738000,2,819.84,303.21,2.703868605916692,649034868264558592,1784136091000,1220369221305761792,MP09ZY9990,57647000,1784193738000,765.0511285062643,792.641,15.985555555555038,289.7920941311607,2.735205742504654,798.2399999999907,289.7920941311607,1784136091000-649034868264558592-1220369221305761792,
1186996414987632640,1784119431000-649034868264558592-1186996414987632640,1784119431000,1784177090000,3,779.8240000000001,299.505,2.603709453932322,649034868264558592,1784119431000,1186996414987632640,MP09ZS0009,57659000,1784177090000,790.7661728290653,779.894,15.981944444444707,299.5326412231308,2.6037028779746034,778.4000000000233,299.5326412231308,1784119431000-649034868264558592-1186996414987632640,
1289228109731594240,1784113488000-649034868264558592-1289228109731594240,1784113488000,1784171117000,5,776.9870000000001,272.524,2.8510773363079953,649034868264558592,1784113488000,1289228109731594240,MP09DK9990,57629000,1784171117000,721.3466967769793,777.122,0.0,273.2373851427952,2.8441276423205126,799.1199999999953,273.2373851427952,1784113488000-649034868264558592-1289228109731594240,
1334832669606805504,1784134653000-649034868264558592-1334832669606805504,1784134653000,1784191799000,5,748.12,265.901,2.8135283432555727,649034868264558592,1784134653000,1334832669606805504,MP09AH9990,57146000,1784191799000,702.0546124136765,763.532,15.803333333333285,265.9297774294229,2.8711790284660372,755.1999999999534,265.94072267661335,1784134653000-649034868264558592-1334832669606805504,
1192134793974775808,1784126501000-649034868264558592-1192134793974775808,1784126501000,1784171730000,1,709.54,232.688,3.049319260125146,649034868264558592,1784126501000,1192134793974775808,MP09ZT9990,45229000,1784171730000,614.2963200000627,709.54,12.5,232.68800000002375,3.0493192601248347,756.4400000000605,232.68800000002375,1784126501000-649034868264558592-1192134793974775808,
1268893773056704512,1784122208000-649034868264558592-1268893773056704512,1784122208000,1784179825000,4,702.7429999999999,259.477,2.708305553093338,649034868264558592,1784122208000,1268893773056704512,MP09DG0009,57617000,1784179825000,685.6082193376282,702.807,15.977500000000873,259.7000830824349,2.7062255493268847,697.8800000000047,259.7000830824349,1784122208000-649034868264558592-1268893773056704512,
1140330395766620160,1784132237000-649034868264558592-1140330395766620160,1784132237000,1784174327000,5,683.385,176.945,3.862132300997485,649034868264558592,1784132237000,1140330395766620160,MP09DD0666,42090000,1784174327000,471.0574193469604,683.544,11.644166666666933,178.43084066172742,3.8308624084548013,671.5999999999767,178.43084066172742,1784132237000-649034868264558592-1140330395766620160,
1192134718468915200,1784128473000-649034868264558592-1192134718468915200,1784128473000,1784177713000,3,647.892,199.578,3.2463097134954757,649034868264558592,1784128473000,1192134718468915200,MP09ZT0099,49240000,1784177713000,526.6805513414798,614.153,13.600000000000364,199.50020884146963,3.0784579302773016,656.3199999999488,199.50020884146963,1784128473000-649034868264558592-1192134718468915200,
1406272050288394240,1784120248000-649034868264558592-1406272050288394240,1784120248000,1784169686000,3,644.088,250.096,2.5753630605847353,649034868264558592,1784120248000,1406272050288394240,MP09AT9000,49438000,1784169686000,659.1734240871136,644.128,13.678333333333285,249.6869030633006,2.579742838320602,631.5800000000163,249.6869030633006,1784120248000-649034868264558592-1406272050288394240,
1537489451758911488,1784112465000-649034868264558592-1537489451758911488,1784112465000,1784170135000,4,639.216,194.252,3.2906533780861973,649034868264558592,1784112465000,1537489451758911488,MP09BG9990,57670000,1784170135000,513.0030190142414,639.629,0.0,194.31932538418235,3.291638640343211,662.7799999999988,194.31932538418235,1784112465000-649034868264558592-1537489451758911488,
1561408897250492416,1784145027000-649034868264558592-1561408897250492416,1784145027000,1784183577000,6,631.1089999999999,202.87,3.110903534283038,649034868264558592,1784145027000,1561408897250492416,MP09BP0009,38550000,1784183577000,535.5149476993911,631.284,10.674166666666679,202.8465710982542,3.112125566540736,,202.8465710982542,1784145027000-649034868264558592-1561408897250492416,
1220369364222476288,1784124869000-649034868264558592-1220369364222476288,1784124869000,1784182521000,3,630.5989999999999,215.959,2.9199940729490317,649034868264558592,1784124869000,1220369364222476288,MP09ZX9990,57652000,1784182521000,569.6770674477112,630.681,15.986666666666679,215.7867679726179,2.922704695591112,631.8400000000838,215.7867679726179,1784124869000-649034868264558592-1220369364222476288,
1140330319757443072,1784113727000-649034868264558592-1140330319757443072,1784113727000,1784171370000,3,627.823,244.37,2.5691492409051846,649034868264558592,1784113727000,1140330319757443072,MP09ZL9990,57643000,1784171370000,644.6591704785993,627.947,15.977777777778101,244.18907972674216,2.571560532939061,625.1999999999534,244.18907972674216,1784113727000-649034868264558592-1140330319757443072,
1066488845387694080,1784129318000-649034868264558592-1066488845387694080,1784129318000,1784184312000,4,618.746,237.03,2.610412184111716,649034868264558592,1784129318000,1066488845387694080,MP09PA3330,54994000,1784184312000,625.4315974519715,618.841,15.23777777777832,236.90590812574675,2.6121805272645493,618.0,236.90590812574675,1784129318000-649034868264558592-1066488845387694080,
1284477133422329856,1784135689000-649034868264558592-1284477133422329856,1784135689000,1784168619000,2,592.082,185.319,3.19493414059001,649034868264558592,1784135689000,1284477133422329856,MP09DH9990,32930000,1784168619000,487.44831887865394,592.142,9.150000000001455,184.63951472676285,3.2070166609583874,631.2449999999953,184.63951472676285,1784135689000-649034868264558592-1284477133422329856,
1334832234422599680,1784134877000-649034868264558592-1334832234422599680,1784134877000,1784182392000,2,572.495,232.67700000000002,2.4604709532957703,649034868264558592,1784134877000,1334832234422599680,MP09DR0666,47515000,1784182392000,614.1044310633359,572.521,13.144722222223209,232.61531479671814,2.461235196402801,562.4800000000396,232.61531479671814,1784134877000-649034868264558592-1334832234422599680,
1552709327888842752,1784142110000-649034868264558592-1552709327888842752,1784142110000,1784182849000,2,571.154,191.68099999999998,2.9797110824755717,649034868264558592,1784142110000,1552709327888842752,MP09BP9990,40739000,1784182849000,507.79871999999983,571.195,11.25,192.34799999999993,2.9695915736061735,583.9599999999991,192.34799999999993,1784142110000-649034868264558592-1552709327888842752,
1536322320262496256,1784136564000-649034868264558592-1536322320262496256,1784136564000,1784173237000,2,570.9549999999999,204.39100000000002,2.7934449168505457,649034868264558592,1784136564000,1536322320262496256,MP09BL9000,36673000,1784173237000,539.8514652191624,570.965,10.14277777777761,204.48919137089482,2.792152466212286,567.7400000000052,204.48919137089482,1784136564000-649034868264558592-1536322320262496256,
1146409880471470080,1784140834000-649034868264558592-1146409880471470080,1784140834000,1784181835000,3,570.561,219.125,2.60381517398745,649034868264558592,1784140834000,1146409880471470080,MP09DC0666,41001000,1784181835000,578.0963692107047,570.616,11.361666666666679,218.9758974282972,2.605839303327189,564.3600000000442,218.97589742829717,1784140834000-649034868264558592-1146409880471470080,
1537489465788858368,1784128711000-649034868264558592-1537489465788858368,1784128711000,1784168989000,1,559.207,174.224,3.209701304068326,649034868264558592,1784128711000,1537489465788858368,MP09BJ9990,40278000,1784168989000,459.95135001471016,559.207,0.0,174.22399621769324,3.209701373749169,576.3949999999968,174.22399621769324,1784128711000-649034868264558592-1537489465788858368,
1552709347677569024,1784130919000-649034868264558592-1552709347677569024,1784130919000,1784172791000,4,558.736,182.876,3.0552724250311685,649034868264558592,1784130919000,1552709347677569024,MP09BN9990,41872000,1784172791000,483.0884806971155,558.845,11.599999999999909,182.98806087011948,3.0539970604784688,571.3450000000012,182.98806087011948,1784130919000-649034868264558592-1552709347677569024,
1334832578175172608,1784129777000-649034868264558592-1334832578175172608,1784129777000,1784171670000,2,558.311,214.36700000000002,2.604463373560296,649034868264558592,1784129777000,1334832578175172608,MP09AH0009,41893000,1784171670000,565.5801260697688,558.355,11.60777777777821,214.23489623854877,2.6062747470340986,550.8000000000466,214.23489623854877,1784129777000-649034868264558592-1334832578175172608,
1334833501215653888,1784125954000-649034868264558592-1334833501215653888,1784125954000,1784163706000,3,557.738,171.109,3.2595480074104812,649034868264558592,1784125954000,1334833501215653888,MP09DS9990,37752000,1784163706000,451.8306390699338,557.83,10.399999999999636,171.14796934467188,3.2593433748348835,579.5100000000093,171.14796934467188,1784125954000-649034868264558592-1334833501215653888,
1494312254978392064,1784130777000-649034868264558592-1494312254978392064,1784130777000,1784165284000,3,551.3050000000001,167.063,3.299982641279039,649034868264558592,1784130777000,1494312254978392064,MP09AY9990,34507000,1784165284000,441.2110437323918,551.386,9.566944444444744,167.1253953531787,3.2992352768098487,542.7000000000116,167.1253953531787,1784130777000-649034868264558592-1494312254978392064,
1537489444636983296,1784122120000-649034868264558592-1537489444636983296,1784122120000,1784166612000,1,545.418,154.043,3.540686691378381,649034868264558592,1784122120000,1537489444636983296,MP09BF9909,44492000,1784166612000,406.6725197861917,545.418,0.0,154.04262113113322,3.540695399721206,564.125,154.04262113113322,1784122120000-649034868264558592-1537489444636983296,['1506657089034911744']
1494312585351135232,1784141772751-649034868264558592-1494312585351135232,1784141772000,1784186051000,3,542.14,220.93200000000002,2.4538772110875744,649034868264558592,1784141772751,1494312585351135232,MP09AZ0009,44278249,1784186051000,582.9974158953704,548.692,12.242777777777519,220.8323545058221,2.4846540319142143,546.9199999999837,220.8323545058221,1784141772751-649034868264558592-1494312585351135232,
1494312366358134784,1784111719000-649034868264558592-1494312366358134784,1784111719000,1784151116000,3,537.713,191.279,2.811144976709414,649034868264558592,1784111719000,1494312366358134784,MP09AX9990,39397000,1784151116000,504.2419775358996,537.776,10.905555555555111,191.00074906662863,2.815570109687907,527.7200000000012,191.00074906662863,1784111719000-649034868264558592-1494312366358134784,
1474013563159838720,1784136225000-649034868264558592-1474013563159838720,1784136225000,1784176250000,1,535.098,188.133,2.844253799173988,649034868264558592,1784136225000,1474013563159838720,MP09AM9990,40025000,1784176250000,496.6702283736237,535.098,11.050000000000182,188.13266226273623,2.8442589052012144,527.2999999999884,188.13266226273623,1784136225000-649034868264558592-1474013563159838720,
1552709337468633088,1784138550000-649034868264558592-1552709337468633088,1784138550000,1784180400000,1,533.464,170.53,3.1282706855098814,649034868264558592,1784138550000,1552709337468633088,MP09BN9000,41850000,1784180400000,450.19920000000167,533.464,11.600000000000136,170.53000000000063,3.12827068550987,552.8549999999959,170.53000000000063,1784138550000-649034868264558592-1552709337468633088,
1518565483060658176,1784133589000-649034868264558592-1518565483060658176,1784133589000,1784170914000,2,532.8389999999999,190.902,2.7911651004180156,649034868264558592,1784133589000,1518565483060658176,MP09BK9000,37325000,1784170914000,504.02359446845577,532.888,10.331944444444616,190.9180282077484,2.7911874274132735,,190.9180282077484,1784133589000-649034868264558592-1518565483060658176,
1192134642870779904,1784127311000-649034868264558592-1192134642870779904,1784127311000,1784165419000,1,528.869,170.672,3.098744961094966,649034868264558592,1784127311000,1192134642870779904,MP09ZU0099,38108000,1784165419000,450.5740799999773,528.869,10.549999999999272,170.67199999999139,3.0987449610951225,562.2099999999627,170.67199999999139,1784127311000-649034868264558592-1192134642870779904,
