vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,driver_ids
1284477133422329856,1784212651000-649034868264558592-1284477133422329856,1784212651000,1784255429000,3,1265.625,357.914,3.5361148208787587,649034868264558592,1784212651000,1284477133422329856,MP09DH9990,42778000,1784255429000,555.5179384055521,683.463,11.849999999998545,210.42346151725457,3.2480361033503695,726.3999999999069,210.42346151725457,1784212651000-649034868264558592-1284477133422329856,
1192134793974775808,1784221641000-649034868264558592-1192134793974775808,1784221641000,1784273404000,1,845.456,291.777,2.8976101611847405,649034868264558592,1784221641000,1192134793974775808,MP09ZT9990,51763000,1784273404000,770.2909509798662,845.456,14.350000000000364,291.77687537116145,2.8976113988626357,901.4099999999162,291.77687537116145,1784221641000-649034868264558592-1192134793974775808,
1518565483060658176,1784213302000-649034868264558592-1518565483060658176,1784213302000,1784264226000,2,791.52,254.32299999999998,3.112262752484046,649034868264558592,1784213302000,1518565483060658176,MP09BK9000,50924000,1784264226000,671.4593727657934,796.3,14.089722222222008,254.34067150219445,3.1308402045841475,792.5399999999936,254.34067150219445,1784213302000-649034868264558592-1518565483060658176,
1151974728106246144,1784196572000-649034868264558592-1151974728106246144,1784196572000,1784254173000,1,785.444,265.955,2.953296610328815,649034868264558592,1784196572000,1151974728106246144,MP09ZG9990,57601000,1784254173000,702.1201536019817,785.444,15.600000000002183,265.95460363711425,2.953301011746015,841.9299999999348,265.95460363711425,1784196572000-649034868264558592-1151974728106246144,
1406271868830220288,1784213688000-649034868264558592-1406271868830220288,1784213688000,1784261434000,3,756.68,231.96999999999997,3.2619735310600513,649034868264558592,1784213688000,1406271868830220288,MP09AT9990,47746000,1784261434000,609.1252607629751,806.267,13.22666666666646,230.7292654405209,3.4944288426551835,,230.7292654405209,1784213688000-649034868264558592-1406271868830220288,
1334833501215653888,1784213206000-649034868264558592-1334833501215653888,1784213206000,1784255443000,2,721.78,214.613,3.3631699850428443,649034868264558592,1784213206000,1334833501215653888,MP09DS9990,42237000,1784255443000,566.7045432965515,697.798,11.700000000000728,214.66081185475434,3.250700460744321,723.9200000000419,214.66081185475434,1784213206000-649034868264558592-1334833501215653888,
1268893955106275328,1784191272000-649034868264558592-1268893955106275328,1784191272000,1784248879000,3,702.76,281.832,2.4935422521218316,649034868264558592,1784191272000,1268893955106275328,MP09DE0999,57607000,1784248879000,743.8479392463512,715.328,15.97416666666686,281.7605830478603,2.538779527860692,704.7599999998929,281.7605830478603,1784191272000-649034868264558592-1268893955106275328,
1140330319757443072,1784203496000-649034868264558592-1140330319757443072,1784203496000,1784261207000,2,701.84,283.905,2.4720945386661035,649034868264558592,1784203496000,1140330319757443072,MP09ZL9990,57711000,1784261207000,749.518182093694,703.188,15.99638888888876,283.90840230821743,2.4768129237563143,704.1600000000326,283.90840230821743,1784203496000-649034868264558592-1140330319757443072,
1476550907393998848,1784216557000-649034868264558592-1476550907393998848,1784216557000,1784256802000,2,674.44,192.56199999999998,3.502456351720485,649034868264558592,1784216557000,1476550907393998848,MP09DP0666,40245000,1784256802000,505.3492093043814,688.694,11.089166666666642,191.4201550395384,3.597813406105267,676.5199999999895,191.4201550395384,1784216557000-649034868264558592-1476550907393998848,
1146410747421523968,1784218428000-649034868264558592-1146410747421523968,1784218428000,1784267994000,3,664.24,246.319,2.6966657058529795,649034868264558592,1784218428000,1146410747421523968,MP09ZM9990,49566000,1784267994000,650.0245065081422,660.791,13.704166666667334,246.22140398035685,2.6837268788082977,666.0,246.22140398035685,1784218428000-649034868264558592-1146410747421523968,
1406272050288394240,1784197066000-649034868264558592-1406272050288394240,1784197066000,1784241122000,2,662.74,185.184,3.5788189044409884,649034868264558592,1784197066000,1406272050288394240,MP09AT9000,44056000,1784241122000,488.61196215990606,680.877,12.209722222222808,185.0802886969341,3.678819634407015,664.5,185.0802886969341,1784197066000-649034868264558592-1406272050288394240,
1192134718468915200,1784203539000-649034868264558592-1192134718468915200,1784203539000,1784253575000,2,659.0150000000001,189.191,3.4833316595398305,649034868264558592,1784203539000,1192134718468915200,MP09ZT0099,50036000,1784253575000,500.20607999994655,618.175,13.850000000000364,189.47199999997974,3.2626192788383825,660.0,189.47199999997974,1784203539000-649034868264558592-1192134718468915200,
1334832578175172608,1784195675000-649034868264558592-1334832578175172608,1784195675000,1784253336000,4,647.78,249.121,2.6002625230309766,649034868264558592,1784195675000,1334832578175172608,MP09AH0009,57661000,1784253336000,657.8490419990243,665.451,15.989444444444416,249.18524318144858,2.6705072559832135,654.0,249.18524318144858,1784195675000-649034868264558592-1334832578175172608,
1334833185816576000,1784215378000-649034868264558592-1334833185816576000,1784215378000,1784254286000,1,644.991,178.104,3.6214290526883164,649034868264558592,1784215378000,1334833185816576000,MP09DS0999,38908000,1784254286000,470.1956818160149,644.991,10.75,178.10442493030865,3.6214204125045275,674.0900000000838,178.10442493030865,1784215378000-649034868264558592-1334833185816576000,
