vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,engine_hours,active_driver,driver_ids
1430193762327330816,1784738207000-642689989225816064-1430193762327330816,1784738207000,1784783392000,2,641.2,171.414,3.740651288692873,642689989225816064,1784738207000,1430193762327330816,MP09AN2545,45185000,1784783392000,451.6063199999859,171.06299999999464,3.6300018121979587,643.0,171.06299999999464,1784738207000-642689989225816064-1430193762327330816,620.959,12.350000000000364,,
739922158402142208,1784749300000-642689989225816064-739922158402142208,1784749300000,1784787493000,1,469.858,121.723,3.860059315002095,642689989225816064,1784749300000,739922158402142208,MP13P8145,38193000,1784787493000,321.3486658029181,121.7229794708023,3.860059966020671,,121.7229794708023,1784749300000-642689989225816064-739922158402142208,469.858,10.600000000000364,,
1429476090367180800,1784744047000-642689989225816064-1429476090367180800,1784744047000,1784771926000,2,442.1,104.628,4.225446343235081,642689989225816064,1784744047000,1429476090367180800,MP09AN1563,27879000,1784771926000,276.3144869263081,104.66457838117732,4.096935244303389,443.5,104.66457838117732,1784744047000-642689989225816064-1429476090367180800,428.804,7.650000000000546,,
1439682401377714176,1784737022000-642689989225816064-1439682401377714176,1784737022000,1784767370000,2,427.29999999999995,113.174,3.775602170109742,642689989225816064,1784737022000,1439682401377714176,mp09an6583,30348000,1784767370000,298.82215165264785,113.1902089593363,3.6669426076341236,429.0,113.1902089593363,1784737022000-642689989225816064-1439682401377714176,415.062,8.050000000000182,,
739508566909517824,1784729676000-642689989225816064-739508566909517824,1784729676000,1784764929000,2,417.125,107.348,3.885726795096322,642689989225816064,1784729676000,739508566909517824,MP13P8154,35253000,1784764929000,287.91899051720065,109.06022368075782,3.784257780436016,418.375,109.06022368075782,1784729676000-642689989225816064-739508566909517824,412.712,0.0,,
1425523015684194304,1784744784000-642689989225816064-1425523015684194304,1784744784000,1784770218000,1,395.616,108.711,3.6391533515467613,642689989225816064,1784744784000,1425523015684194304,MP09AM6184,25434000,1784770218000,286.9961813369382,108.71067474884022,3.6391642395193635,409.0,108.71067474884022,1784744784000-642689989225816064-1425523015684194304,395.616,6.800000000000182,,
566305663035146240,1784686639000-642689989225816064-566305663035146240,1784686639000,1784715846000,1,392.553,83.002,4.7294402544517,642689989225816064,1784686639000,566305663035146240,MP09AF2754,29207000,1784715846000,219.12454571300026,83.00172186098494,4.729456102819959,,66.48654328472425,1784686639000-642689989225816064-566305663035146240,392.553,5.073678055555551,,
1531014613364113408,1784763866000-642689989225816064-1531014613364113408,1784763866000,1784776511000,1,345.491,59.018,5.853993696838252,642689989225816064,1784763866000,1531014613364113408,MP09BM0929,12645000,1784776511000,155.80746519828784,59.01797924177569,5.85399575584664,,48.777553866841494,1784763866000-642689989225816064-1531014613364113408,345.491,3.4816666666665697,,
739451124913799168,1784744403000-642689989225816064-739451124913799168,1784744403000,1784771301000,1,343.208,77.552,4.425520940788116,642689989225816064,1784744403000,739451124913799168,MP13P2781,26898000,1784771301000,204.73654288117723,77.5517207883247,4.425536874117556,,77.5517207883247,1784744403000-642689989225816064-739451124913799168,343.208,0.0,,
739928272518774784,1784736805000-642689989225816064-739928272518774784,1784736805000,1784767703000,2,341.0,83.868,4.0659131015405165,642689989225816064,1784736805000,739928272518774784,MP13P7218,30898000,1784767703000,233.87826683373711,88.59025258853679,4.244383428348575,342.875,75.37153184363098,1784736805000-642689989225816064-739928272518774784,376.011,0.0,,
589014414737289216,1784696126000-642689989225816064-589014414737289216,1784696126000,1784725483000,1,335.332,70.576,4.751360235774201,642689989225816064,1784696126000,589014414737289216,MP09BP1574,29357000,1784725483000,186.32131170359136,70.57625443317855,4.751343106731339,,53.20780216109436,1784696126000-642689989225816064-589014414737289216,335.332,4.943368055555553,,
1527036626096619520,1784682836000-642689989225816064-1527036626096619520,1784682836000,1784711429000,1,335.136,80.706,4.152553713478552,642689989225816064,1784682836000,1527036626096619520,MP09BJ9703,28593000,1784711429000,213.06435562891198,80.70619531398181,4.15254366404186,,80.70619531398181,1784682836000-642689989225816064-1527036626096619520,335.136,7.883333333333212,,
589017381083291648,1784713379000-642689989225816064-589017381083291648,1784713379000,1784742331000,1,335.092,71.383,4.69428295252371,642689989225816064,1784713379000,589017381083291648,MP09BP1514,28952000,1784742331000,188.44993734766115,71.38255202562922,4.694312412362175,,57.45618780021366,1784713379000-642689989225816064-589017381083291648,335.092,4.916944444444443,,
589017381083291648,1784683472000-642689989225816064-589017381083291648,1784683472000,1784710916000,1,334.312,70.467,4.7442348900903974,642689989225816064,1784683472000,589017381083291648,MP09BP1514,27444000,1784710916000,186.03277690687204,70.46696094957274,4.744237519186316,,57.50345515686276,1784683472000-642689989225816064-589017381083291648,334.312,4.657916666666669,,
1527036626096619520,1784712532000-642689989225816064-1527036626096619520,1784712532000,1784740311000,1,333.599,84.486,3.9485713609355395,642689989225816064,1784712532000,1527036626096619520,MP09BJ9703,27779000,1784740311000,223.04215805158066,84.48566592862903,3.9485869742899875,,84.48566592862903,1784712532000-642689989225816064-1527036626096619520,333.599,7.632777777777392,,
1533593777682251776,1784690148000-642689989225816064-1533593777682251776,1784690148000,1784704741000,1,332.092,57.406,5.784970212172944,642689989225816064,1784690148000,1533593777682251776,MP09BL8707,14593000,1784704741000,151.55142859857128,57.405844166125476,5.784985916050053,,57.40584416612547,1784690148000-642689989225816064-1533593777682251776,332.092,4.004722222221972,,
1514683047356661760,1784688728000-642689989225816064-1514683047356661760,1784688728000,1784718453000,1,332.061,72.139,4.603071847405703,642689989225816064,1784688728000,1514683047356661760,MP09BJ5826,29725000,1784718453000,190.44799234228606,72.13939103874472,4.6030468959968935,,59.288041672855776,1784688728000-642689989225816064-1514683047356661760,332.061,5.226090277776312,,
740159491168796672,1784736614000-642689989225816064-740159491168796672,1784736614000,1784764144000,2,330.125,76.041,4.341407924672216,642689989225816064,1784736614000,740159491168796672,MP13P9027,27530000,1784764144000,231.17332612064467,87.56565383357753,4.128148242768981,332.25,76.00114944455869,1784736614000-642689989225816064-740159491168796672,361.484,0.0,,
1440684104986132480,1784749686000-642689989225816064-1440684104986132480,1784749686000,1784770190000,4,329.2,91.952,3.5801287628327825,642689989225816064,1784749686000,1440684104986132480,MP09AN6571,20504000,1784770190000,244.3663200000051,92.56300000000192,3.511554292751891,334.3999999999942,92.56300000000192,1784749686000-642689989225816064-1440684104986132480,325.04,5.600000000000364,,
588522082246086656,1784710874000-642689989225816064-588522082246086656,1784710874000,1784739423000,1,319.429,71.786,4.449739503524364,642689989225816064,1784710874000,588522082246086656,MP09BP1475,28549000,1784739423000,189.5146308857743,71.78584503249026,4.44974910938816,,58.21464120833336,1784710874000-642689989225816064-588522082246086656,319.429,4.812416666666666,,
566306901520842752,1784679304000-642689989225816064-566306901520842752,1784679304000,1784703259000,1,296.513,62.479,4.745802589670129,642689989225816064,1784679304000,566306901520842752,MP09AF2718,23955000,1784703259000,164.9452244874795,62.47925169980283,4.745783471042047,,50.01203667345924,1784679304000-642689989225816064-566306901520842752,296.513,4.0423888888889,,
566306901520842752,1784716718000-642689989225816064-566306901520842752,1784716718000,1784742201000,1,296.374,63.609,4.659309217249132,642689989225816064,1784716718000,566306901520842752,MP09AF2718,25483000,1784742201000,167.9285996366492,63.60931804418531,4.659285920879203,,51.155707773495614,1784716718000-642689989225816064-566306901520842752,296.374,4.36003833333334,,
566304909352275968,1784714614000-642689989225816064-566304909352275968,1784714614000,1784737596000,1,292.538,77.37,3.7810262375597774,642689989225816064,1784714614000,566304909352275968,MP09AF2781,22982000,1784737596000,204.25780775543157,77.37038172554226,3.781007582949853,,77.37038172554226,1784714614000-642689989225816064-566304909352275968,292.538,6.302777777782467,,
566304909352275968,1784679708000-642689989225816064-566304909352275968,1784679708000,1784703817000,1,286.893,73.753,3.889916342386072,642689989225816064,1784679708000,566304909352275968,MP09AF2781,24109000,1784703817000,194.70664745334085,73.75251797475032,3.8899417657607263,,73.75251797475032,1784679708000-642689989225816064-566304909352275968,286.893,6.616666666668607,,
1425525382987120640,1784753858000-642689989225816064-1425525382987120640,1784753858000,1784773369000,2,282.3,72.215,3.909160146783909,642689989225816064,1784753858000,1425525382987120640,MP09AM6115,19511000,1784773369000,190.68352193628442,72.22860679404712,3.7752493382230594,282.8999999999942,72.22860679404712,1784753858000-642689989225816064-1425525382987120640,272.681,5.400000000000091,,
1530989903863611392,1784692406000-642689989225816064-1530989903863611392,1784692406000,1784707076000,1,275.866,58.679,4.701273027829377,642689989225816064,1784692406000,1530989903863611392,MP09BL8795,14670000,1784707076000,154.91384826085013,58.67948797759474,4.701233932125181,,58.67948797759474,1784692406000-642689989225816064-1530989903863611392,275.866,4.037777777778047,,
1531014613364113408,1784709915000-642689989225816064-1531014613364113408,1784709915000,1784725249000,1,272.834,63.58,4.291192198804656,642689989225816064,1784709915000,1531014613364113408,MP09BM0929,15334000,1784725249000,167.85126308866444,63.58002389722137,4.2911905859148884,193.70000000001164,63.58002389722138,1784709915000-642689989225816064-1531014613364113408,272.834,4.218888888889069,,
1533593777682251776,1784730256000-642689989225816064-1533593777682251776,1784730256000,1784747719000,1,266.47,61.718,4.317541073916848,642689989225816064,1784730256000,1533593777682251776,MP09BL8707,17463000,1784747719000,162.9363698577527,61.718321915815416,4.317518554108917,198.90999999998894,61.71832191581541,1784730256000-642689989225816064-1533593777682251776,266.47,4.801944444444416,,
1531014613364113408,1784693852000-642689989225816064-1531014613364113408,1784693852000,1784708149000,1,245.48,56.723,4.327697759286356,642689989225816064,1784693852000,1531014613364113408,MP09BM0929,14297000,1784708149000,149.7475050234903,56.72253978162511,4.327732872065817,192.51999999998952,56.72253978162511,1784693852000-642689989225816064-1531014613364113408,245.48,3.93444444444458,,
739902048702562304,1784747245000-642689989225816064-739902048702562304,1784747245000,1784765535000,1,229.781,52.69,4.360998291895996,642689989225816064,1784747245000,739902048702562304,MP13P9072,18290000,1784765535000,139.10273820560315,52.69043113848604,4.360962608107487,233.125,52.69043113848604,1784747245000-642689989225816064-739902048702562304,229.781,1.8499999999985448,,
1531014613364113408,1784731791000-642689989225816064-1531014613364113408,1784731791000,1784746482000,1,228.752,48.864,4.681401440733465,642689989225816064,1784731791000,1531014613364113408,MP09BM0929,14691000,1784746482000,129.00069514731288,48.86389967701245,4.681411052168114,,48.86389967701245,1784731791000-642689989225816064-1531014613364113408,228.752,4.043611111110749,,
1326602160833560576,1784681293000-642689989225816064-1326602160833560576,1784681293000,1784696283000,1,214.537,68.427,3.1352682420681894,642689989225816064,1784681293000,1326602160833560576,MP09DT3645,14990000,1784696283000,180.6461852321013,68.42658531518988,3.135287242696522,,68.42658531518988,1784681293000-642689989225816064-1326602160833560576,214.537,4.127222222221462,,
