vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,fuel_consumed,mileage,raw_fuel_consumed,id,odo_distance_km,load_estimation,driver_ids,engine_hours
1207353920964263936,1785972543000-1205841794575630336-1207353920964263936,1785972543000,1786000405000,1,235.122,64.184,3.663249407952138,1205841794575630336,1785972543000,1207353920964263936,OD10Y3942,27862000,1786000405000,169.44678304521975,235.122,64.18438751712868,3.663227290861874,64.18438751712868,1785972543000-1205841794575630336-1207353920964263936,241.85500000001048,,,0.0
1207350809923158016,1785951983000-1205841794575630336-1207350809923158016,1785951983000,1785970921000,1,215.058,44.101,4.876488061495204,1205841794575630336,1785951983000,1207350809923158016,OD18M8045,18938000,1785970921000,116.42745079471783,215.058,44.1013071192113,4.876454101885724,44.1013071192113,1785951983000-1205841794575630336-1207350809923158016,221.09500000000116,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785992348256}",,0.0
1207354165982920704,1785892488000-1205841794575630336-1207354165982920704,1785892488000,1785915803000,1,213.474,68.555,3.1139085405878486,1205841794575630336,1785892488000,1207354165982920704,OD18M8085,23315000,1785915803000,180.98575108587207,213.474,68.55520874464851,3.113899059007154,68.55520874464851,1785892488000-1205841794575630336-1207354165982920704,220.27500000002328,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1785966816006}",,0.0
1207353169709891584,1785973882000-1205841794575630336-1207353169709891584,1785973882000,1785999166000,1,210.713,53.571,3.933340800059734,1205841794575630336,1785973882000,1207353169709891584,OD10Y3956,25284000,1785999166000,141.42655922823795,210.713,53.57066637433255,3.933365295992649,53.57066637433255,1785973882000-1205841794575630336-1207353169709891584,216.2600000000093,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786056291319}",,0.0
1207354165982920704,1785922087000-1205841794575630336-1207354165982920704,1785922087000,1785940163000,1,185.694,55.928,3.320233156916035,1205841794575630336,1785922087000,1207354165982920704,OD18M8085,18076000,1785940163000,147.65095582036093,185.694,55.92839235619732,3.320209864380691,55.92839235619732,1785922087000-1205841794575630336-1207354165982920704,191.82000000000698,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786010616643}",,0.0
1262195116899041280,1785890588000-1205841794575630336-1262195116899041280,1785890588000,1785933594000,1,177.167,34.859,5.082389053042256,1205841794575630336,1785890588000,1262195116899041280,OD11AE3274,43006000,1785933594000,92.02902011437413,177.167,34.85947731605081,5.08231946204267,34.85947731605081,1785890588000-1205841794575630336-1262195116899041280,186.0,"{'confidence': 0, 'count': 2, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 11083.157349563544, 'std': 4064.3004070212337, 'timestamp': 1786067459884}",,11.649999999999636
1262017082736771072,1785897463000-1205841794575630336-1262017082736771072,1785897463000,1785919616000,1,175.179,28.001,6.256169422520624,1205841794575630336,1785897463000,1262017082736771072,OD31L8596,22153000,1785919616000,73.92221954433376,175.179,28.00084073649006,6.25620500643435,28.00084073649006,1785897463000-1205841794575630336-1262017082736771072,184.09999999997672,"{'confidence': 54.9, 'count': 13, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'LOW', 'mean': 5593.351789067707, 'std': 1819.6735605533638, 'timestamp': 1786001423027}",,0.0
1262222597332926464,1785921654000-1205841794575630336-1262222597332926464,1785921654000,1785941489000,1,165.447,40.577,4.077359095053849,1205841794575630336,1785921654000,1262222597332926464,OD21R1668,19835000,1785941489000,107.12347649254498,165.447,40.57707442899431,4.0773516161081345,40.57707442899431,1785921654000-1205841794575630336-1262222597332926464,176.875,"{'confidence': 63.6, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 10401.412028609742, 'std': 2396.2860341291503, 'timestamp': 1786048395361}",,5.449999999999818
1207353169709891584,1785922664000-1205841794575630336-1207353169709891584,1785922664000,1785943710000,1,162.536,39.837,4.080026106383513,1205841794575630336,1785922664000,1207353169709891584,OD10Y3956,21046000,1785943710000,105.16950510771228,162.536,39.83693375292132,4.0800328912885,39.83693375292132,1785922664000-1205841794575630336-1207353169709891584,167.1750000000029,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786049021657}",,0.0
1207339563534516224,1785914872000-1205841794575630336-1207339563534516224,1785914872000,1785932861000,1,152.702,23.0,6.6392173913043475,1205841794575630336,1785914872000,1207339563534516224,OD20C5868,17989000,1785932861000,60.720000000000006,152.702,23.0,6.6392173913043475,23.0,1785914872000-1205841794575630336-1207339563534516224,158.0,"{'confidence': 79.8, 'count': 14, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 7744.574550420641, 'std': 1173.5137784854635, 'timestamp': 1786001906705}",,0.0
