vehicle_id,trip_id,start_time,end_time,counts,total_distance,total_fuel_consumed,mean_mileage
1429476090367180800,1786033132000-642689989225816064-1429476090367180800,1786033132000,1786073677000,2,648.1,162.087,3.9984699574919644
1430193762327330816,1785947271000-642689989225816064-1430193762327330816,1785947271000,1785988103000,1,626.159,166.918,3.751297044057561
739451124913799168,1786041564000-642689989225816064-739451124913799168,1786041564000,1786075921000,1,466.8,114.801,4.06616667102203
1439682401377714176,1786034879000-642689989225816064-1439682401377714176,1786034879000,1786065812000,2,432.20000000000005,120.07400000000001,3.5994470076785983
1440684104986132480,1785949466000-642689989225816064-1440684104986132480,1785949466000,1785980483000,2,430.4,126.059,3.414274268398131
1430193762327330816,1786040882000-642689989225816064-1430193762327330816,1786040882000,1786066400000,1,427.803,105.844,4.041825705755641
1425525382987120640,1786041176000-642689989225816064-1425525382987120640,1786041176000,1786067359000,2,413.7,97.1,4.260556127703398
739508566909517824,1786032992000-642689989225816064-739508566909517824,1786032992000,1786064040000,2,361.0,86.801,4.158938261079942
1440684104986132480,1786039705000-642689989225816064-1440684104986132480,1786039705000,1786063204000,1,358.956,95.34,3.7650094398993077
1530989903863611392,1786058686000-642689989225816064-1530989903863611392,1786058686000,1786072074000,1,345.996,63.892,5.415325862392788
739426360824430592,1786035156000-642689989225816064-739426360824430592,1786035156000,1786060560000,1,337.825,107.078,3.1549431255720126
1425525382987120640,1785960877000-642689989225816064-1425525382987120640,1785960877000,1785982603000,2,335.4,84.293,3.9789780883347365
588522082246086656,1785977215000-642689989225816064-588522082246086656,1785977215000,1786006983000,1,334.426,74.389,4.495637795910686
740159491168796672,1786030547000-642689989225816064-740159491168796672,1786030547000,1786060166000,2,333.875,78.481,4.254214395841032
1514683047356661760,1785984805000-642689989225816064-1514683047356661760,1785984805000,1786014595000,1,332.216,71.518,4.645208199334434
1515667522240643072,1786018259000-642689989225816064-1515667522240643072,1786018259000,1786048683000,1,332.069,69.117,4.8044475309981625
1425523015684194304,1786046249000-642689989225816064-1425523015684194304,1786046249000,1786066168000,2,327.7,83.714,3.9145184795852543
1533593777682251776,1785990000000-642689989225816064-1533593777682251776,1785990000000,1786004220000,1,314.88,58.873,5.348461943505512
1514683047356661760,1786018450000-642689989225816064-1514683047356661760,1786018450000,1786045683000,1,314.332,66.114,4.754393925643585
566304909352275968,1786012932000-642689989225816064-566304909352275968,1786012932000,1786037556000,1,295.817,75.122,3.937821144271984
739467157439512576,1786039356000-642689989225816064-739467157439512576,1786039356000,1786060972000,1,293.948,73.481,4.0003266150433445
566306901520842752,1785975757000-642689989225816064-566306901520842752,1785975757000,1785998960000,1,286.962,61.128,4.694444444444445
1530989903863611392,1786035327000-642689989225816064-1530989903863611392,1786035327000,1786049857000,1,275.897,53.047,5.200991573510284
1531014613364113408,1786042061000-642689989225816064-1531014613364113408,1786042061000,1786055355000,1,274.461,46.098,5.95385916959521
566305663035146240,1785983215000-642689989225816064-566305663035146240,1785983215000,1786004689000,1,269.034,59.594,4.514447763197637
739910017485897728,1785957608000-642689989225816064-739910017485897728,1785957608000,1785977698000,1,263.278,63.768,4.128685233973153
1531014613364113408,1786026137000-642689989225816064-1531014613364113408,1786026137000,1786040182000,1,259.478,48.391,5.362112789568308
1429476090367180800,1785953750000-642689989225816064-1429476090367180800,1785965608000,1785980491000,1,257.3,57.408,4.4819537346711265
1530989903863611392,1785993584000-642689989225816064-1530989903863611392,1785993584000,1786008209000,1,249.372,63.371,3.9351122753309875
739902048702562304,1786044108000-642689989225816064-739902048702562304,1786044108000,1786060937000,1,232.146,57.719,4.022003153207782
589016215549128704,1786015369000-642689989225816064-589016215549128704,1786015369000,1786034239000,1,219.682,47.044,4.669713459739818
739928272518774784,1786025971000-642689989225816064-739928272518774784,1786025971000,1786045354000,1,218.083,54.407,4.00836289448049
1533593777682251776,1786057975000-642689989225816064-1533593777682251776,1786057975000,1786071648000,1,212.71,47.21,4.505613217538657
589017381083291648,1786012440000-642689989225816064-589017381083291648,1786012440000,1786031613000,1,208.277,44.396,4.691346067213262
1534933431186620416,1786017167000-642689989225816064-1534933431186620416,1786017167000,1786035457000,1,208.098,63.414,3.2815782003973886
589017381083291648,1785989994000-642689989225816064-589017381083291648,1785989994000,1786006797000,1,208.071,45.142,4.6092552390235255
1326601875818020864,1786015186000-642689989225816064-1326601875818020864,1786015186000,1786032013000,1,201.898,59.063,3.4183498975670044
1326602092428656640,1786020907000-642689989225816064-1326602092428656640,1786020907000,1786038273000,1,200.274,62.927,3.1826402021389866
1326601969871093760,1786027695000-642689989225816064-1326601969871093760,1786027695000,1786043520000,1,199.612,46.55,4.2881203007518796
1533610372471193600,1786031344000-642689989225816064-1533610372471193600,1786031344000,1786045908000,1,199.34,55.835,3.570162084713889
1326601705701244928,1786024052000-642689989225816064-1326601705701244928,1786024052000,1786041097000,1,199.314,64.591,3.0857859454103513
1557834733679804416,1786038820000-642689989225816064-1557834733679804416,1786038820000,1786052995000,1,199.3,58.354,3.415361414813038
1537213879656906752,1786026205000-642689989225816064-1537213879656906752,1786026205000,1786041480000,1,199.279,56.626,3.519213788718963
1326601740895649792,1786022408000-642689989225816064-1326601740895649792,1786022408000,1786038986000,1,199.204,66.607,2.9907367093548727
1557834963942899712,1786051446000-642689989225816064-1557834963942899712,1786051446000,1786063617000,1,199.011,50.123,3.970452686391477
1326601740895649792,1786060083000-642689989225816064-1326601740895649792,1786060083000,1786074492000,1,199.005,58.814,3.3836331485700684
1533610372471193600,1785976398000-642689989225816064-1533610372471193600,1785976398000,1785990110000,1,198.926,62.611,3.177173340147897
1326603043004743680,1785977017000-642689989225816064-1326603043004743680,1785977017000,1785991192000,1,198.917,61.149,3.2529886016124547
1557834733679804416,1785979509000-642689989225816064-1557834733679804416,1785979509000,1785994453000,1,198.91,60.054,3.3121856995370833
1326602030344568832,1785977281000-642689989225816064-1326602030344568832,1785977281000,1785992681000,1,198.888,63.864,3.11424276587749
1326602160833560576,1785981347000-642689989225816064-1326602160833560576,1785981347000,1785997259000,1,198.864,69.389,2.865929758319042
1557834963942899712,1785984575000-642689989225816064-1557834963942899712,1785984575000,1786001402000,1,198.84,68.467,2.904172813180072
1326602059092328448,1786045802000-642689989225816064-1326602059092328448,1786045802000,1786058474000,1,198.768,50.304,3.9513358778625953
1533070673256120320,1785972232000-642689989225816064-1533070673256120320,1785972232000,1785986091000,1,197.879,52.879,3.7421093439739783
739922158402142208,1785966543000-642689989225816064-739922158402142208,1785966543000,1785979336000,1,197.785,49.148,4.024273622527875
1326601969871093760,1785988251000-642689989225816064-1326601969871093760,1785988251000,1786002926000,1,197.128,57.604,3.4221234636483575
1533070673256120320,1785991344000-642689989225816064-1533070673256120320,1785991344000,1786006146000,1,197.109,61.121,3.224898152844358
1326602160833560576,1786016146000-642689989225816064-1326602160833560576,1786016146000,1786032128000,1,197.039,62.588,3.1481913465840097
1531014613364113408,1785982606000-642689989225816064-1531014613364113408,1785982606000,1786000620000,2,196.77,64.189,3.0654785087787633
1534933431186620416,1785979047000-642689989225816064-1534933431186620416,1785979047000,1785993969000,1,196.004,55.635,3.523034061292352
1326601811460620288,1785973576000-642689989225816064-1326601811460620288,1785973576000,1785987860000,2,196.0,60.885,3.219183706988585
1533610372471193600,1785995644000-642689989225816064-1533610372471193600,1785995644000,1786010016000,1,195.984,56.051,3.4965299459420884
1557834733679804416,1785997355000-642689989225816064-1557834733679804416,1785997355000,1786012358000,1,195.92,66.108,2.9636352635081984
1326601875818020864,1785977176000-642689989225816064-1326601875818020864,1785977176000,1785991549000,1,194.786,56.603,3.4412663639736407
1537213879656906752,1786007874000-642689989225816064-1537213879656906752,1786007874000,1786022644000,1,194.679,70.828,2.748616366408765
1533070725588451328,1785974830000-642689989225816064-1533070725588451328,1785974830000,1785989270000,1,194.653,59.157,3.2904474533867507
1537194706461523968,1786005924000-642689989225816064-1537194706461523968,1786005924000,1786020736000,1,194.652,69.303,2.8087095796718757
1533610372471193600,1786013341000-642689989225816064-1533610372471193600,1786013341000,1786029036000,1,194.649,66.752,2.9160025167785237
1533070725588451328,1785996988000-642689989225816064-1533070725588451328,1785996988000,1786011868000,1,194.622,62.655,3.1062485037107974
1326601875818020864,1786035501000-642689989225816064-1326601875818020864,1786035501000,1786048604000,1,194.607,52.192,3.7286748927038627
1533070725588451328,1786013131000-642689989225816064-1533070725588451328,1786013131000,1786029735000,1,194.607,61.717,3.1532154835782684
1326602092428656640,1785995527000-642689989225816064-1326602092428656640,1785995527000,1786010057000,1,194.595,59.815,3.2532809495945836
1557834963942899712,1786002190000-642689989225816064-1557834963942899712,1786002190000,1786017444000,1,194.591,64.271,3.0276641097851287
1537213879656906752,1785986409000-642689989225816064-1537213879656906752,1785986409000,1786001040000,1,194.578,63.022,3.0874615213734886
1326601999923281920,1785992076000-642689989225816064-1326601999923281920,1785992076000,1786007012000,1,194.577,66.328,2.933557471957544
1534933431186620416,1786038677000-642689989225816064-1534933431186620416,1786038677000,1786053623000,1,194.566,50.322,3.866420253567028
1326601740895649792,1785984380000-642689989225816064-1326601740895649792,1785984380000,1785999192000,1,194.561,60.57,3.212167739805184
1557834733679804416,1786017320000-642689989225816064-1557834733679804416,1786017320000,1786031979000,1,194.557,63.391,3.0691580823776246
1326603043004743680,1786011411000-642689989225816064-1326603043004743680,1786011411000,1786027238000,1,194.553,69.267,2.8087400926848285
1534933431186620416,1786000763000-642689989225816064-1534933431186620416,1786000763000,1786015211000,1,194.537,54.18,3.5905684754521965
1326601811460620288,1786007516000-642689989225816064-1326601811460620288,1786007516000,1786022960000,1,194.532,62.383,3.1183495503582708
1326601941924446208,1785993624000-642689989225816064-1326601941924446208,1785993624000,1786008121000,1,194.529,62.373,3.1188014044538503
1326602059092328448,1786004332000-642689989225816064-1326602059092328448,1786004332000,1786019446000,1,194.513,62.576,3.108428151367937
1326601875818020864,1785998940000-642689989225816064-1326601875818020864,1785998940000,1786014095000,1,194.474,61.674,3.15325745046535
1326601705701244928,1785982658000-642689989225816064-1326601705701244928,1785982658000,1785997221000,1,194.391,61.819,3.1445186754881185
1326601740895649792,1786006404000-642689989225816064-1326601740895649792,1786006404000,1786021238000,1,194.344,68.668,2.8301974718937495
1430193762327330816,1786022483000-642689989225816064-1430193762327330816,1786022483000,1786039488000,1,194.186,57.361,3.385331497010164
1533593777682251776,1786011785000-642689989225816064-1533593777682251776,1786011785000,1786026950000,2,194.07,52.322,3.7091472038530635
1326602092428656640,1786049761000-642689989225816064-1326602092428656640,1786049761000,1786062801000,1,194.048,51.521,3.7663865220007375
566305825849643008,1786007988000-642689989225816064-566305825849643008,1786007988000,1786023283000,1,193.654,40.287,4.806860773946931
1530989903863611392,1786019880000-642689989225816064-1530989903863611392,1786019880000,1786030866000,1,193.641,40.358,4.798082164626592
739928272518774784,1786046844000-642689989225816064-739928272518774784,1786046844000,1786060778000,1,193.539,47.141,4.105534460448442
1537194706461523968,1786027774000-642689989225816064-1537194706461523968,1786027774000,1786042388000,1,193.523,61.7,3.136515397082658
1557834963942899712,1786022674000-642689989225816064-1557834963942899712,1786022674000,1786037774000,1,193.466,54.433,3.55420425109768
1326602059092328448,1786024584000-642689989225816064-1326602059092328448,1786024584000,1786039352000,1,193.329,55.445,3.4868608530976646
566305825849643008,1785991884000-642689989225816064-566305825849643008,1785991884000,1786005884000,1,193.315,41.786,4.6263102474513
1533070437565595648,1785976425000-642689989225816064-1533070437565595648,1785976425000,1785990523000,1,192.309,60.68,3.1692320369149636
1326602030344568832,1785998956000-642689989225816064-1326602030344568832,1785998956000,1786014257000,2,192.04000000000002,68.541,2.8018266439065673
1533070673256120320,1786010639000-642689989225816064-1533070673256120320,1786010639000,1786025916000,2,191.44,64.873,2.950996562514451
1326601969871093760,1786009850000-642689989225816064-1326601969871093760,1786009850000,1786025088000,2,191.28,64.173,2.980692814735169
739508566909517824,1785937491000-642689989225816064-739508566909517824,1785961528000,1785976090000,1,190.875,45.6,4.185855263157895
718907611667234816,1785997614000-642689989225816064-718907611667234816,1785997614000,1786011636000,2,190.38548500000002,64.845,2.9360087130850494
739497118649024512,1785975523000-642689989225816064-739497118649024512,1785975523000,1785989571000,1,189.05,51.056,3.702796928862426
1537535790538555392,1786027947000-642689989225816064-1537535790538555392,1786027947000,1786044190000,1,188.971,49.037,3.8536411281277405
718907611667234816,1786011928000-642689989225816064-718907611667234816,1786011928000,1786026983000,2,188.13240000000002,70.57499999999999,2.6657088204038266
718907611667234816,1785982871000-642689989225816064-718907611667234816,1785982871000,1785997301000,2,187.64959499999998,66.81,2.808705208801077
1533070437565595648,1786019979000-642689989225816064-1533070437565595648,1786019979000,1786037126000,1,187.139,53.676,3.4864557716670395
1326602092428656640,1785973392000-642689989225816064-1326602092428656640,1785973392000,1785986336000,1,187.027,49.569,3.7730638100425664
1537194706461523968,1785971521000-642689989225816064-1537194706461523968,1785971521000,1785985299000,1,186.912,47.884,3.9034332971347423
1326601941924446208,1786031620000-642689989225816064-1326601941924446208,1786031620000,1786045369000,2,186.73000000000002,52.972,3.5250698482217024
1326601941924446208,1785964644000-642689989225816064-1326601941924446208,1785964644000,1785976397000,1,186.166,39.738,4.684835673662489
1326602059092328448,1785987855000-642689989225816064-1326602059092328448,1785987855000,1786002316000,1,185.56,62.459,2.9709089162490594
582166702746271744,1786012190000-642689989225816064-582166702746271744,1786012190000,1786031862000,1,182.212,39.674,4.592730755658618
1425523015684194304,1785967374000-642689989225816064-1425523015684194304,1785967374000,1785978712000,1,177.835,47.486,3.744998525881313
1533070599880966144,1786027612000-642689989225816064-1533070599880966144,1786027612000,1786041034000,1,176.088,59.39,2.964943593197508
566305825849643008,1785980285000-642689989225816064-566305825849643008,1785980285000,1785991451000,1,175.357,36.118,4.855113793676283
1533069815709696000,1785977640000-642689989225816064-1533069815709696000,1785977640000,1785990517000,1,174.753,45.895,3.807669680793114
1439682401377714176,1785946692000-642689989225816064-1439682401377714176,1785966672000,1785980928000,1,174.1,49.718,3.5017498692626408
1533070437565595648,1786005994000-642689989225816064-1533070437565595648,1786005994000,1786019621000,1,173.648,52.077,3.334447068763562
1537535790538555392,1786012826000-642689989225816064-1537535790538555392,1786012826000,1786026668000,1,173.633,47.867,3.627405101635783
1533070437565595648,1785992042000-642689989225816064-1533070437565595648,1785992042000,1786003921000,1,173.63,51.523,3.36995128389263
1537535790538555392,1785984721000-642689989225816064-1537535790538555392,1785984721000,1785997039000,1,173.599,49.049,3.5392974372566206
1533070599880966144,1785984104000-642689989225816064-1533070599880966144,1785984104000,1785997288000,1,173.578,50.759,3.419649717291515
1537535790538555392,1785998897000-642689989225816064-1537535790538555392,1785998897000,1786011216000,1,173.558,57.961,2.9943927813529787
1533070599880966144,1785999296000-642689989225816064-1533070599880966144,1785999296000,1786012082000,1,173.55,54.793,3.1673753946672023
1533069815709696000,1785991755000-642689989225816064-1533069815709696000,1785991755000,1786004490000,1,173.544,49.0,3.541714285714286
1533069815709696000,1786006338000-642689989225816064-1533069815709696000,1786006338000,1786021107000,1,173.525,49.114,3.533106649835078
1533069815709696000,1786022066000-642689989225816064-1533069815709696000,1786022066000,1786034855000,1,173.434,47.891,3.621432001837506
739497118649024512,1786020100000-642689989225816064-739497118649024512,1786020100000,1786034765000,1,173.273,47.081,3.6803169006605634
1533070599880966144,1786013090000-642689989225816064-1533070599880966144,1786013090000,1786026839000,2,171.79500000000002,54.730000000000004,3.13895486935867
740288270604173312,1786002721000-642689989225816064-740288270604173312,1786002721000,1786018145000,1,166.003,55.54,2.9888908894490456
739494776759386112,1785981061000-642689989225816064-739494776759386112,1785981061000,1785997830000,1,165.759,51.487,3.219434031891545
740288270604173312,1785983214000-642689989225816064-740288270604173312,1785983214000,1785999057000,1,163.475,55.932,2.922745476650218
739928272518774784,1785946922000-642689989225816064-739928272518774784,1785964132000,1785978542000,1,160.0,36.868,4.339806878593902
582170543017459712,1786008321000-642689989225816064-582170543017459712,1786008321000,1786025104000,1,157.645,37.506,4.2031941556017705
582170543017459712,1786025567000-642689989225816064-582170543017459712,1786025567000,1786039600000,1,156.52,32.65,4.793874425727412
582170543017459712,1785991986000-642689989225816064-582170543017459712,1785991986000,1786005530000,1,154.696,33.19,4.660921964447123
582166702746271744,1785983944000-642689989225816064-582166702746271744,1785983944000,1785997426000,1,154.588,32.309,4.784673001330899
566306421637943296,1786008643000-642689989225816064-566306421637943296,1786008643000,1786021493000,1,153.393,33.794,4.539060188199089
566306421637943296,1785979601000-642689989225816064-566306421637943296,1785979601000,1785992265000,1,153.336,31.825,4.8180989787902595
566303952333733888,1786000919000-642689989225816064-566303952333733888,1786000919000,1786013858000,1,153.23,44.781,3.421763694423974
566303952333733888,1786015149000-642689989225816064-566303952333733888,1786015149000,1786027910000,1,152.796,40.248,3.7963625521765056
566306421637943296,1785993699000-642689989225816064-566306421637943296,1785993699000,1786006902000,1,152.786,32.095,4.760429973516124
566306421637943296,1786022411000-642689989225816064-566306421637943296,1786022411000,1786035114000,1,152.778,33.159,4.607436894960644
566306626101870592,1785986698000-642689989225816064-566306626101870592,1785986698000,1785999502000,1,152.676,40.085,3.8088062866408876
1270777772603604992,1785994985000-642689989225816064-1270777772603604992,1785994985000,1786012383000,1,151.693,46.973,3.2293658058884893
1326602030344568832,1786023074000-642689989225816064-1326602030344568832,1786023074000,1786033505000,1,142.125,38.519,3.6897375321270025
1425523015684194304,1786033604000-642689989225816064-1425523015684194304,1786033604000,1786044795000,1,134.238,37.809,3.550424502102674
582166702746271744,1786000540000-642689989225816064-582166702746271744,1786000540000,1786012175000,1,128.611,28.167,4.5660169702133695
739467157439512576,1785975907000-642689989225816064-739467157439512576,1785975907000,1785984551000,1,127.762,29.784,4.289618587160892
739467157439512576,1786019809000-642689989225816064-739467157439512576,1786019809000,1786030475000,1,127.244,31.714,4.012234344453554
589016215549128704,1785982276000-642689989225816064-589016215549128704,1785982276000,1785992536000,1,127.066,26.468,4.800740516850537
739902048702562304,1786030628000-642689989225816064-739902048702562304,1786030628000,1786042141000,1,122.937,31.758,3.871056111845834
1326601941924446208,1786009544000-642689989225816064-1326601941924446208,1786009544000,1786019994000,1,116.949,34.244,3.4151676206050694
566305825849643008,1786030649000-642689989225816064-566305825849643008,1786030649000,1786038981000,1,112.563,22.911,4.913054864475579
1326601705701244928,1786011501000-642689989225816064-1326601705701244928,1786011501000,1786020671000,1,110.836,37.211,2.978581602214399
721681431436197888,1786004899000-642689989225816064-721681431436197888,1786004899000,1786020033000,1,99.492,58.828,1.691235466104576
739467157439512576,1785966980000-642689989225816064-739467157439512576,1785966980000,1785975086000,1,93.847,21.809,4.303131734604979
