vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,load_estimation
1494312366358134784,1786025792000-649034868264558592-1494312366358134784,1786025792000,1786080538000,2,802.0600000000001,281.585,2.8483761564003767,649034868264558592,1786025792000,1494312366358134784,MP09AX9990,54746000,1786080538000,743.0934515267642,817.127,15.179444444444016,281.4747922449864,2.90302017272225,804.6000000000058,281.4747922449864,1786025792000-649034868264558592-1494312366358134784,
1518565483060658176,1786010754000-649034868264558592-1518565483060658176,1786010754000,1786058692000,3,701.03,227.411,3.082656511778234,649034868264558592,1786010754000,1518565483060658176,MP09BK9000,47938000,1786058692000,600.5107017638945,714.786,13.267777777778065,227.4661749105661,3.1423836985039006,703.1900000000023,227.4661749105661,1786010754000-649034868264558592-1518565483060658176,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786146108717}"
1334833501215653888,1786027454000-649034868264558592-1334833501215653888,1786027454000,1786068230000,1,688.311,196.624,3.5006459028399384,649034868264558592,1786027454000,1334833501215653888,MP09DS9990,40776000,1786068230000,519.0873600000283,688.311,11.25,196.6240000000107,3.500645902839748,716.2549999998882,196.6240000000107,1786027454000-649034868264558592-1334833501215653888,"{'confidence': 78.4, 'count': 26, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 22507.21023238466, 'std': 4968.595045320905, 'timestamp': 1786136168819}"
1561408916011614208,1786036059000-649034868264558592-1561408916011614208,1786036059000,1786073325000,1,671.354,183.738,3.6538658306937055,649034868264558592,1786036059000,1561408916011614208,MP09BP0999,37266000,1786073325000,485.069412143325,671.354,10.307222222222208,183.7384136906534,3.653857603942899,664.6650000000009,183.7384136906534,1786036059000-649034868264558592-1561408916011614208,
1146409880471470080,1786035806000-649034868264558592-1146409880471470080,1786035806000,1786083300000,2,671.16,229.42000000000002,2.9254642141051344,649034868264558592,1786035806000,1146409880471470080,MP09DC0666,47494000,1786083300000,605.705487749436,677.634,13.145277777777665,229.43389687478634,2.9535042957049154,672.4800000000978,229.43389687478634,1786035806000-649034868264558592-1146409880471470080,
1220369364222476288,1786007258000-649034868264558592-1220369364222476288,1786007258000,1786064891000,2,671.04,243.209,2.7591084211521775,649034868264558592,1786007258000,1220369364222476288,MP09ZX9990,57633000,1786064891000,640.9554070638877,674.9,15.981666666666683,242.7861390393514,2.779812730127112,672.0,242.7861390393514,1786007258000-649034868264558592-1220369364222476288,
1140330395766620160,1786032974000-649034868264558592-1140330395766620160,1786032974000,1786072363000,2,666.56,174.92700000000002,3.8105038101608093,649034868264558592,1786032974000,1140330395766620160,MP09DD0666,39389000,1786072363000,460.16538403220704,676.792,10.913333333333867,174.30506970916932,3.882801579605446,667.4400000000023,174.30506970916932,1786032974000-649034868264558592-1140330395766620160,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786142254589}"
1537489451758911488,1786012996000-649034868264558592-1537489451758911488,1786012996000,1786070296000,3,665.02,201.505,3.300265502096722,649034868264558592,1786012996000,1537489451758911488,MP09BG9990,57300000,1786070296000,532.2130414265916,644.978,0.0,201.59584902522408,3.1993615102625403,669.5200000000041,201.59584902522408,1786012996000-649034868264558592-1537489451758911488,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1786139741997}"
1186996414987632640,1786023808000-649034868264558592-1186996414987632640,1786023808000,1786080579000,3,644.3199999999999,246.95999999999998,2.6090055069646905,649034868264558592,1786023808000,1186996414987632640,MP09ZS0009,56771000,1786080579000,652.3443430027812,646.108,15.711666666666133,247.1001299252959,2.614761878900401,648.0,247.1001299252959,1786023808000-649034868264558592-1186996414987632640,
1406271868830220288,1786018157000-649034868264558592-1406271868830220288,1786018157000,1786074645000,2,639.7,257.31,2.48610625315767,649034868264558592,1786018157000,1406271868830220288,MP09AT9990,56488000,1786074645000,679.7959796365922,649.695,15.651388888889414,257.4984771350728,2.5231023003650526,641.5800000000163,257.4984771350728,1786018157000-649034868264558592-1406271868830220288,
