tags,id,start_time,end_time,account_id,vehicle_id,driver_id,driver_type,trip_id,driver_session_id,distance,mileage,loss,idling_alert_fuel_consumed,ready,alert_breath_test_duration,alert_breath_test_count,alert_camera_tampered_duration,alert_camera_tampered_count,alert_distracted_driving_duration,alert_distracted_driving_count,alert_drowsiness_duration,alert_drowsiness_count,alert_emergency_recording_duration,alert_emergency_recording_count,alert_eyes_closed_duration,alert_eyes_closed_count,alert_fcw_duration,alert_fcw_count,alert_lane_departure_warning_duration,alert_lane_departure_warning_count,alert_mobile_phone_duration,alert_mobile_phone_count,alert_pcw_duration,alert_pcw_count,alert_sd_card_tampered_duration,alert_sd_card_tampered_count,alert_seatbelt_violation_duration,alert_seatbelt_violation_count,alert_tailgating_duration,alert_tailgating_count,alert_smoking_duration,alert_smoking_count,alert_idling_duration,alert_idling_count,alert_over_speed_duration,alert_over_speed_count,alert_speeding_duration,alert_speeding_count,alert_freerun_duration,alert_freerun_count,alert_over_acc_duration,alert_over_acc_count,alert_hard_brake_duration,alert_hard_brake_count,alert_unscheduled_driving_duration,alert_unscheduled_driving_count,alert_slow_running_duration,alert_slow_running_count,alert_continuous_driving_duration,alert_continuous_driving_count,alert_fuel_chori_amount,alert_fuel_chori_count,alert_def_chori_amount,alert_def_chori_count,accident_count,unresolved_alerts_count,day_driving_duration,night_driving_duration,driver_idle_duration_before_trip,vehicle_idle_duration_before_trip,total_alerts_count,gear_utilization,peak_torque_range,fuel_smart_mode,terrain,uphill_slope,engine_load,engine_hours,fuel_consumed,adblue_consumed,avg_speed,last_gear_utilization,last_two_gear_utilization,below_ptr_duration,between_ptr_duration,above_ptr_duration,alert_stoppage_duration,alert_stoppage_count,last_gear_utilization_duration,last_two_gear_utilization_duration,total_gear_utilization_duration,first_gear_pickup_count,second_gear_pickup_count,third_and_higher_gear_pickup_count
[],1050036509840769024-1786233592000,1786233592000,1786233958000,632578958264631296,1050036509840769024,,,1786233592000-632578958264631296-1050036509840769024,,0.033,0.079,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,,0,0,,,,,,,0.07756945,0.419,,0.32459018,,,,,,0,0,,,,,,
[],1071018553202704384-1786233591000,1786233591000,1786234626000,632578958264631296,1071018553202704384,,,1786233591000-632578958264631296-1071018553202704384,,0.024,0.052,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,,0,0,,,,,,,0.25,0.463,,0.083478265,,,,,,0,0,,,,,,
[],1299087047838924800-1786233586000,1786233586000,1786233970000,632578958264631296,1299087047838924800,,,1786233586000-632578958264631296-1299087047838924800,,0.0,,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,,0,0,,,,,,,0.08083333,0.261,,0.0,,,,,,0,0,,,,,,
[],1067763722711203840-1786233578000,1786233578000,1786234104000,632578958264631296,1067763722711203840,,,1786233578000-632578958264631296-1067763722711203840,,0.0,,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,,0,0,,,,,,,,0.642,,0.0,,,,,,0,0,,,,,,
[],1536014517601828864-1786233575000,1786233575000,1786241210000,632578958264631296,1536014517601828864,,,1786233575000-632578958264631296-1536014517601828864,,67.482,2.113,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,20,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2210,5425,,0,2,"{'fifth_gear_duration': 12.1858876445147, 'first_gear_duration': 2.34437799925377, 'sixth_gear_duration': 13.709197630801517, 'third_gear_duration': 5.64407536166027, 'eighth_gear_duration': 39.28156279662765, 'fourth_gear_duration': 10.063682573490972, 'second_gear_duration': 3.9124294621816076, 'seventh_gear_duration': 12.858786531469518}",,"{'MODE_HEAVY': 40.45396953658463, 'MODE_LIGHT': 0.8783540856153871, 'MODE_TURBO': 58.667676377799985}","{'up': 23.00932258013803, 'down': 30.797528651605894, 'plane': 46.19314876825607}",0.6111036,52.03,2.05,31.94,,31.818624,39.281563,52.14035,3359261.0,1477316.0,36749.0,2229,1,1459.182,1936.844,3714.674,2.0,1.0,0.0
[],1153273376152748032-1786233566000,1786233566000,1786234143000,632578958264631296,1153273376152748032,,,1786233566000-632578958264631296-1153273376152748032,,1.094,1.304,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,577,,574,1,,,,,,19.87,0.15,0.839,,6.8256497,,,,,,350,1,,,,,,
[],1428033112889098240-1786233564000,1786233564000,1786239936000,632578958264631296,1428033112889098240,,,1786233564000-632578958264631296-1428033112889098240,,44.202,1.86,,0.3,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648.832,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,936,5436,,0,2,"{'fifth_gear_duration': 11.282482828171387, 'first_gear_duration': 0.8761492158139648, 'sixth_gear_duration': 15.183680163608571, 'third_gear_duration': 1.3698959786840899, 'eighth_gear_duration': 44.130794300504135, 'fourth_gear_duration': 3.996899759762851, 'second_gear_duration': 1.0673689533931046, 'seventh_gear_duration': 22.0927288000619}",,,"{'up': 54.642544768218, 'down': 11.448694931639277, 'plane': 33.90876030014272}",0.49770257,49.6,1.75,23.769,,24.972881,44.130795,66.223526,1174594.0,2376680.0,0.0,1121,1,2384.017,3577.502,5402.162,2.0,1.0,0.0
[],1050036987500691456-1786233539000,1786233539000,1786233747000,632578958264631296,1050036987500691456,,,1786233539000-632578958264631296-1050036987500691456,,0.008,0.036,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,,0,0,,,,,,,0.042894166,0.223,,0.13846155,,,,,,0,0,,,,,,
[],1500136074981146624-1786233538000,1786233538000,1786244226000,632578958264631296,1500136074981146624,,,1786233538000-632578958264631296-1500136074981146624,,118.528,2.955,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5226,5462,,0,1,"{'fifth_gear_duration': 2.0039400581433156, 'first_gear_duration': 1.4620779811930324, 'sixth_gear_duration': 2.9223617827444723, 'third_gear_duration': 1.4141704109841065, 'eighth_gear_duration': 81.30880151178964, 'fourth_gear_duration': 0.7506807970043345, 'second_gear_duration': 2.6125634604313013, 'seventh_gear_duration': 7.525403997709794}",,,"{'up': 16.89090543505819, 'down': 8.168760436063538, 'plane': 74.94033412887828}",0.34906638,46.44,2.9,40.107,,39.923355,81.3088,88.834206,595556.0,6211422.0,0.0,2099,1,8202.575,8961.751,10088.176,4.0,3.0,0.0
[],1132636252537880576-1786233526000,1786233526000,1786235176000,632578958264631296,1132636252537880576,,,1786233526000-632578958264631296-1132636252537880576,,18.65,4.423,,0.0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1650,,720,1,,,,"{'up': 27.42016106637045, 'down': 46.07608997500694, 'plane': 26.5037489586226}",0.57426715,36.1,,4.216,,40.69091,,,7417.0,949660.0,0.0,397,1,,,,,,
