trip_id,vehicle_id,start_time,end_time,distance,fuel_consumed
1786753164000-1205841794575630336-1262213665130545152,1262213665130545152,1786753164000,1786757346000,35.125,5.502
1786753164000-1205841794575630336-1262213665130545152,1262213665130545152,1786757347000,1786768751000,70.125,11.637
1786753581000-1205841794575630336-1262200874315284480,1262200874315284480,1786753581000,1786755141000,10.625,1.987
1786753581000-1205841794575630336-1262200874315284480,1262200874315284480,1786755142000,1786758071000,21.375,4.406
1786753975000-1205841794575630336-1262213270287155200,1262213270287155200,1786753975000,1786758718000,41.75,7.808
1786753975000-1205841794575630336-1262213270287155200,1262213270287155200,1786758719000,1786760210000,8.0,1.934
1786754769000-1205841794575630336-1207337475438018560,1207337475438018560,1786754769000,1786755661000,5.0,0.923
1786754769000-1205841794575630336-1207337475438018560,1207337475438018560,1786755662000,1786761185000,42.0,6.803
1786758898000-1205841794575630336-1262139618942255104,1262139618942255104,1786758898000,1786763630000,26.5,4.627
1786758898000-1205841794575630336-1262139618942255104,1262139618942255104,1786763631000,1786763793000,,
1786765024000-1205841794575630336-1262213270287155200,1262213270287155200,1786765024000,1786767502000,15.625,3.39
1786765024000-1205841794575630336-1262213270287155200,1262213270287155200,1786767503000,1786773408000,45.25,7.445
1786769182000-1205841794575630336-1262071077832491008,1262071077832491008,1786769182000,1786772874000,23.8,4.214
1786769182000-1205841794575630336-1262071077832491008,1262071077832491008,1786772875000,1786773325000,2.9,0.691
1786769182000-1205841794575630336-1262071077832491008,1262071077832491008,1786773326000,1786774003000,3.7,0.626
1786769640000-1205841794575630336-1262451775248531456,1262451775248531456,1786769640000,1786773366000,28.25,5.147
1786769640000-1205841794575630336-1262451775248531456,1262451775248531456,1786773367000,1786773542000,,
1786771641000-1205841794575630336-1262207902261706752,1262207902261706752,1786771641000,1786775705000,29.375,5.126
1786771641000-1205841794575630336-1262207902261706752,1262207902261706752,1786775706000,1786777924000,21.25,3.402
1786773738000-1205841794575630336-1311348957217030144,1311348957217030144,1786773738000,1786774799000,9.0,1.961
1786773738000-1205841794575630336-1311348957217030144,1311348957217030144,1786774800000,1786775332000,4.0,0.759
1786774297000-1205841794575630336-1262071077832491008,1262071077832491008,1786774297000,1786776682000,17.6,2.934
1786774297000-1205841794575630336-1262071077832491008,1262071077832491008,1786776683000,1786781305000,38.8,6.404
1786775121000-1205841794575630336-1262391725414940672,1262391725414940672,1786775121000,1786776400000,5.5,1.333
1786775121000-1205841794575630336-1262391725414940672,1262391725414940672,1786776401000,1786779796000,24.875,4.331
1786775147000-1205841794575630336-1262202920749760512,1262202920749760512,1786775147000,1786778870000,25.5,3.335
1786775147000-1205841794575630336-1262202920749760512,1262202920749760512,1786778871000,1786779092000,,
1786777668000-1205841794575630336-1207349917090054144,1207349917090054144,1786777668000,1786785292000,32.0,7.87
1786777668000-1205841794575630336-1207349917090054144,1207349917090054144,1786785293000,1786787667000,13.0,4.392
1786780198000-1205841794575630336-1262224388988600320,1262224388988600320,1786780198000,1786785892000,51.625,13.084
1786780198000-1205841794575630336-1262224388988600320,1262224388988600320,1786785893000,1786787314000,10.625,2.487
1786780372000-1205841794575630336-1263540089556828160,1263540089556828160,1786780372000,1786782469000,7.9,2.239
1786780372000-1205841794575630336-1263540089556828160,1263540089556828160,1786782470000,1786783292000,6.1,1.158
1786781300000-1205841794575630336-1207350520574902272,1207350520574902272,1786781300000,1786787066000,44.0,9.426
1786781300000-1205841794575630336-1207350520574902272,1207350520574902272,1786787067000,1786787484000,1.0,0.242
1786781609000-1205841794575630336-1207339360685391872,1207339360685391872,1786781609000,1786783507000,12.0,3.581
1786781609000-1205841794575630336-1207339360685391872,1207339360685391872,1786783508000,1786784393000,8.0,1.897
1786783006000-1205841794575630336-1262220901445795840,1262220901445795840,1786783006000,1786788503000,28.25,5.684
1786783006000-1205841794575630336-1262220901445795840,1262220901445795840,1786788504000,1786791599000,19.75,3.286
1786783156000-1205841794575630336-1262218234732478464,1262218234732478464,1786783156000,1786784872000,10.125,1.69
1786783156000-1205841794575630336-1262218234732478464,1262218234732478464,1786784873000,1786787856000,18.5,3.151
1786788161000-1205841794575630336-1262131774725554176,1262131774725554176,1786788161000,1786788972000,3.75,0.795
1786788161000-1205841794575630336-1262131774725554176,1262131774725554176,1786788973000,1786790193000,7.5,1.426
1786789981000-1205841794575630336-1262068928729841664,1262068928729841664,1786789981000,1786790688000,2.6,0.657
1786789981000-1205841794575630336-1262068928729841664,1262068928729841664,1786790689000,1786792871000,13.5,2.202
1786793936000-1205841794575630336-1262215339517673472,1262215339517673472,1786793936000,1786800150000,42.0,8.268
1786793936000-1205841794575630336-1262215339517673472,1262215339517673472,1786800151000,1786801293000,7.375,1.265
1786793936000-1205841794575630336-1262215339517673472,1262215339517673472,1786801294000,1786802094000,2.5,0.634
1786797631000-1205841794575630336-1262200737681637376,1262200737681637376,1786797631000,1786800586000,19.25,2.327
1786797631000-1205841794575630336-1262200737681637376,1262200737681637376,1786800587000,1786803119000,19.125,2.287
1786802579000-1205841794575630336-1262199464832008192,1262199464832008192,1786802579000,1786808529000,47.25,7.792
1786802579000-1205841794575630336-1262199464832008192,1262199464832008192,1786808530000,1786809327000,9.5,1.584
