vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,engine_hours,load_estimation,active_driver,driver_ids
1531014613364113408,1787652942000-642689989225816064-1531014613364113408,1787652942000,1787697964000,1,675.947,139.026,4.862018615223051,642689989225816064,1787652942000,1531014613364113408,MP09BM0929,45022000,1787697964000,367.02791595967295,139.02572574230035,4.8620282065848945,,139.02572574230035,1787652942000-642689989225816064-1531014613364113408,675.947,12.466111111110877,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787697975290}",,
1430193762327330816,1787676820000-642689989225816064-1430193762327330816,1787676820000,1787718978000,1,631.591,167.115,3.779379469227777,642689989225816064,1787676820000,1430193762327330816,MP09AN2545,42158000,1787718978000,441.18298165076607,167.1147657768053,3.779384766296107,653.4000000000233,167.1047758236018,1787676820000-642689989225816064-1430193762327330816,631.591,11.399999999999636,"{'confidence': 79, 'count': 35, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 15764.336612911904, 'std': 3918.449045021436, 'timestamp': 1787719026779}",,
1533070725588451328,1787633598000-642689989225816064-1533070725588451328,1787633598000,1787688779000,2,587.73,198.39800000000002,2.9623786530106146,642689989225816064,1787633598000,1533070725588451328,MP09BQ7645,55181000,1787688779000,523.8789053476652,198.43897929835802,2.982488632488633,587.8600000000006,198.43897929835802,1787633598000-642689989225816064-1533070725588451328,591.842,15.273888888888905,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787688782919}",,
739451124913799168,1787686641000-642689989225816064-739451124913799168,1787686641000,1787723178000,1,467.046,120.58,3.8733289102670425,642689989225816064,1787686641000,739451124913799168,MP13P2781,36537000,1787723178000,318.32992448508406,120.57951685041063,3.8733444302933404,,120.57951685041063,1787686641000-642689989225816064-739451124913799168,467.046,0.0,"{'confidence': 73.6, 'count': 10, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 14564.860125933683, 'std': 2433.013689152585, 'timestamp': 1787723648298}",,
1429476090367180800,1787681448000-642689989225816064-1429476090367180800,1787681448000,1787708416000,2,445.5,105.71900000000001,4.214001267511043,642689989225816064,1787681448000,1429476090367180800,MP09AN1563,26968000,1787708416000,278.9389204387445,105.6586819843729,4.059231025269026,443.79999999998836,105.65868198437292,1787681448000-642689989225816064-1429476090367180800,428.893,7.300000000000182,"{'confidence': 85.2, 'count': 45, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 18926.67019434089, 'std': 3755.433712612208, 'timestamp': 1787708731782}",,
1440684104986132480,1787677502000-642689989225816064-1440684104986132480,1787677502000,1787707979000,2,426.0,131.466,3.2403815435169547,642689989225816064,1787677502000,1440684104986132480,MP09AN6571,30477000,1787707979000,346.8523792816642,131.38347700063036,3.1566602549117357,427.3999999999942,131.38347700063036,1787677502000-642689989225816064-1440684104986132480,414.733,8.350000000000364,"{'confidence': 34.5, 'count': 6, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 20988.498880930896, 'std': 6736.049390927922, 'timestamp': 1787707983984}",,
739508566909517824,1787666453000-642689989225816064-739508566909517824,1787666453000,1787704072000,2,415.125,107.97900000000001,3.844497541188564,642689989225816064,1787666453000,739508566909517824,MP13P8154,37619000,1787704072000,288.80219999354233,109.39477272482664,3.7705640747347116,417.0,109.39477272482664,1787666453000-642689989225816064-739508566909517824,412.48,0.0,"{'confidence': None, 'count': None, 'error_code': 'TORQUE_FILTER_FAILED', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787704116173}",,
1557834963942899712,1787624186000-642689989225816064-1557834963942899712,1787624186000,1787665425000,2,413.67999999999995,154.381,2.679604355458249,642689989225816064,1787624186000,1557834963942899712,MP09BQ8912,41239000,1787665425000,407.4902957366133,154.35238474871716,2.7097994027168815,414.06999999999243,154.35238474871716,1787624186000-642689989225816064-1557834963942899712,418.264,11.398888888888905,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787665680054}",,
721681431436197888,1787637894000-642689989225816064-721681431436197888,1787637894000,1787681345000,1,413.398,156.428,2.6427365944715784,642689989225816064,1787637894000,721681431436197888,MP09AW1619,43451000,1787681345000,412.96888785618484,156.42760903643364,2.642743199531454,,156.42760903643364,1787637894000-642689989225816064-721681431436197888,413.398,0.0,"{'confidence': 75.2, 'count': 3, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 37959.37692728977, 'std': 3266.688883770207, 'timestamp': 1787681554393}",869927971870212103,['869927971870212103']
1326601969871093760,1787619541000-642689989225816064-1326601969871093760,1787619541000,1787657439000,2,410.75,139.971,2.9345364396910787,642689989225816064,1787619541000,1326601969871093760,MP09BN3893,37898000,1787657439000,369.5620035245664,139.9856073956691,2.957053997915551,411.61999999999534,139.9856073956691,1787619541000-642689989225816064-1326601969871093760,413.945,10.486666666666679,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1787657442759}",,
