vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,carbon_emission,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id,distance,load_estimation,engine_hours,active_driver,driver_ids
1429476090367180800,1788106618000-642689989225816064-1429476090367180800,1788106618000,1788149791000,1,630.361,168.125,3.7493591078066912,642689989225816064,1788106618000,1429476090367180800,MP09AN1563,43173000,1788149791000,443.85,168.125,3.7493591078066912,656.0999999999767,168.125,1788106618000-642689989225816064-1429476090367180800,630.361,"{'confidence': 90.4, 'count': 115, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 16088.723737241695, 'std': 3322.332526021907, 'timestamp': 1788149797779}",11.849999999999454,,
1531014613364113408,1788062705000-642689989225816064-1531014613364113408,1788062705000,1788113814000,2,581.5999999999999,185.685,3.1321862293669382,642689989225816064,1788062705000,1531014613364113408,MP09BM0929,51109000,1788113814000,490.2164885014743,185.688063826316,4.716490559237986,582.6100000000006,185.688063826316,1788062705000-642689989225816064-1531014613364113408,875.796,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788113825338}",14.149166666666588,,
1557834733679804416,1788074371000-642689989225816064-1557834733679804416,1788074371000,1788121778000,3,580.895,181.694,3.1971061234823384,642689989225816064,1788074371000,1557834733679804416,MP09BQ8967,47407000,1788121778000,479.7948302825924,181.74046601613347,3.2387558638027687,582.2350000000006,181.74046601613347,1788074371000-642689989225816064-1557834733679804416,588.613,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788121785221}",13.138611111111004,,
1326601836949405696,1788066659000-642689989225816064-1326601836949405696,1788066659000,1788114605000,3,568.0,199.177,2.851734889068517,642689989225816064,1788066659000,1326601836949405696,MP09DY9036,47946000,1788114605000,525.4864167804874,199.047885144124,2.9254216872406182,568.8399999999674,199.047885144124,1788066659000-642689989225816064-1326601836949405696,582.299,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788114610496}",13.27083333333212,,
1530989903863611392,1788079410000-642689989225816064-1530989903863611392,1788079410000,1788115725000,1,560.795,134.166,4.179859278803869,642689989225816064,1788079410000,1530989903863611392,MP09BL8795,36315000,1788115725000,354.1979121504633,134.16587581456943,4.179863147728223,390.8099999999977,134.16587581456943,1788079410000-642689989225816064-1530989903863611392,560.795,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788115829122}",10.060555555555311,,
1425523015684194304,1788113197000-642689989225816064-1425523015684194304,1788113197000,1788146636000,1,484.84,133.97,3.6190191833992684,642689989225816064,1788113197000,1425523015684194304,MP09AM6184,33439000,1788146636000,353.68136301696114,133.97021326400042,3.6190134223685897,499.19999999998254,133.91575485751636,1788113197000-642689989225816064-1425523015684194304,484.84,"{'confidence': 81.1, 'count': 38, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 15536.832511223227, 'std': 3624.415803213171, 'timestamp': 1788146822039}",8.949999999999818,,
1440684104986132480,1788107297000-642689989225816064-1440684104986132480,1788107297000,1788140961000,2,425.9,126.694,3.3616430138759528,642689989225816064,1788107297000,1440684104986132480,MP09AN6571,33664000,1788140961000,331.4818083104601,125.56129102668943,3.304545506081198,428.0,125.56129102668943,1788107297000-642689989225816064-1440684104986132480,414.923,"{'confidence': 33.4, 'count': 6, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 15259.457959102618, 'std': 4982.0641603243475, 'timestamp': 1788140970869}",9.299999999999272,,
1425525382987120640,1788113940000-642689989225816064-1425525382987120640,1788113940000,1788138663000,2,416.0,109.217,3.8089308440993617,642689989225816064,1788113940000,1425525382987120640,MP09AM6115,24723000,1788138663000,287.18184000000707,108.78100000000268,3.696003897739404,417.4000000000233,108.78100000000268,1788113940000-642689989225816064-1425525382987120640,402.055,"{'confidence': 84, 'count': 43, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'MEDIUM', 'mean': 13453.246864385219, 'std': 2821.1594682029418, 'timestamp': 1788138869342}",6.599999999999909,,
566305825849643008,1788077170000-642689989225816064-566305825849643008,1788077170000,1788111520000,1,398.332,85.961,4.633868847500611,642689989225816064,1788077170000,566305825849643008,MP09AF2745,34350000,1788111520000,226.93774501616323,85.96126705157698,4.633854451691595,,69.88261351045858,1788077170000-642689989225816064-566305825849643008,398.332,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788112244915}",5.9593680555555375,,
1537213879656906752,1788129993000-642689989225816064-1537213879656906752,1788129993000,1788161632000,1,398.054,115.022,3.4606770878614523,642689989225816064,1788129993000,1537213879656906752,MP09BN1073,31639000,1788161632000,303.65894306941425,115.02232692023267,3.4606672518114516,395.66999999999825,115.02232692023267,1788129993000-642689989225816064-1537213879656906752,398.054,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788161690520}",8.737500000000182,,
