vehicle_id_agg,trip_id,start_time_agg,end_time_agg,counts,total_distance,total_fuel_consumed,mean_mileage,account_id,start_time_trips,vehicle_id_trips,vehicle_plate,duration,end_time_trips,load_estimation,carbon_emission,distance,engine_hours,fuel_consumed,mileage,odo_distance_km,raw_fuel_consumed,id
1494313280225673216,1788171473000-649034868264558592-1494313280225673216,1788171473000,1788229075000,6,886.4599999999999,237.52700000000002,3.732038884000555,649034868264558592,1788171473000,1494313280225673216,MP09BL9990,57602000,1788229075000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788229083361}",627.4171630018765,894.687,15.974722222222226,237.65801628858958,3.7645984510515147,892.8699999999953,237.65801628858958,1788171473000-649034868264558592-1494313280225673216
1474016264899788800,1788163459000-649034868264558592-1474016264899788800,1788163459000,1788221086000,7,807.0,260.241,3.1009717915316957,649034868264558592,1788163459000,1474016264899788800,MP09BK9990,57627000,1788221086000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788221093537}",687.2711447988175,831.753,15.980277777777701,260.32997909046117,3.194995070894148,820.2300000000105,260.32997909046117,1788163459000-649034868264558592-1474016264899788800
1220369364222476288,1788197701000-649034868264558592-1220369364222476288,1788197701000,1788254253000,3,795.12,286.265,2.7775662410703372,649034868264558592,1788197701000,1220369364222476288,MP09ZX9990,56552000,1788254253000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788254275336}",755.9225165689863,793.62,15.681111111111079,286.33428657916147,2.7716554991768048,797.6800000000512,286.33428657916147,1788197701000-649034868264558592-1220369364222476288
1536322320262496256,1788188896000-649034868264558592-1536322320262496256,1788188896000,1788238034000,3,762.62,236.788,3.2206868591313746,649034868264558592,1788188896000,1536322320262496256,MP09BL9000,49138000,1788238034000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788238194219}",621.8348620721364,805.976,13.616111111111422,235.5435083606577,3.421771228633955,,235.5435083606577,1788188896000-649034868264558592-1536322320262496256
1334832669606805504,1788172224000-649034868264558592-1334832669606805504,1788172224000,1788229928000,3,714.0,246.731,2.8938398498769917,649034868264558592,1788172224000,1334832669606805504,MP09AH9990,57704000,1788229928000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788230020613}",651.3851186480155,723.096,16.00111111111255,246.73678736667253,2.9306371689334507,716.039999999979,246.73678736667253,1788172224000-649034868264558592-1334832669606805504
1494312366358134784,1788176893000-649034868264558592-1494312366358134784,1788176893000,1788226564000,3,692.64,227.769,3.0409757254060032,649034868264558592,1788176893000,1494312366358134784,MP09AX9990,49671000,1788226564000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788227436307}",601.364613853385,703.048,13.74138888888865,227.78962645961553,3.086391645339663,696.359999999986,227.83640688746206,1788176893000-649034868264558592-1494312366358134784
1220369221305761792,1788176956000-649034868264558592-1220369221305761792,1788176956000,1788234604000,5,686.72,255.356,2.6892651827252934,649034868264558592,1788176956000,1220369221305761792,MP09ZY9990,57648000,1788234604000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788234698467}",672.8876556525054,690.458,15.986111111109494,254.88168774716112,2.7089352950492236,692.2399999999907,254.8816877471611,1788176956000-649034868264558592-1220369221305761792
1284477133422329856,1788189935000-649034868264558592-1284477133422329856,1788189935000,1788232281000,1,667.942,203.386,3.284110017405328,649034868264558592,1788189935000,1284477133422329856,MP09DH9990,42346000,1788232281000,"{'confidence': 83.3, 'count': 35, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 21466.47534422271, 'std': 4229.327135083093, 'timestamp': 1788232289982}",536.9379765870134,667.942,11.700000000000728,203.38559719205054,3.2841165216300134,,203.38559719205054,1788189935000-649034868264558592-1284477133422329856
1476550907393998848,1788193139000-649034868264558592-1476550907393998848,1788193139000,1788228444000,2,656.46,166.19400000000002,3.9499620924943137,649034868264558592,1788193139000,1476550907393998848,MP09DP0666,35305000,1788228444000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788228465624}",438.60735527929756,669.4,9.758333333333212,166.13914972700664,4.029152677739906,658.7799999999988,166.13914972700664,1788193139000-649034868264558592-1476550907393998848
1561408897250492416,1788196253000-649034868264558592-1561408897250492416,1788196253000,1788233229000,5,654.025,165.028,3.9631153501224037,649034868264558592,1788196253000,1561408897250492416,MP09BP0009,36976000,1788233229000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788233231035}",435.05826200990225,667.454,10.226666666666688,164.79479621587205,4.050212842435099,661.3100000000122,164.79479621587203,1788196253000-649034868264558592-1561408897250492416
1186996301657538560,1788194073000-649034868264558592-1186996301657538560,1788194073000,1788242612000,3,649.9200000000001,205.89,3.1566370391956875,649034868264558592,1788194073000,1186996301657538560,MP09ZT0009,48539000,1788242612000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788242749802}",543.609913244057,650.553,13.42527777777832,205.91284592577915,3.159360928042782,652.8800000000047,205.91284592577915,1788194073000-649034868264558592-1186996301657538560
1334833185816576000,1788190238000-649034868264558592-1334833185816576000,1788190238000,1788230865000,1,646.518,198.272,3.260762992253067,649034868264558592,1788190238000,1334833185816576000,MP09DS0999,40627000,1788230865000,"{'confidence': 57, 'count': 13, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 14949.865649812788, 'std': 4634.091605427729, 'timestamp': 1788230886778}",523.4380800000695,646.518,8.399999999999636,198.2720000000263,3.260762992252634,672.9650000000838,198.2720000000263,1788190238000-649034868264558592-1334833185816576000
1140330319757443072,1788179983000-649034868264558592-1140330319757443072,1788179983000,1788231381000,4,642.64,263.506,2.438805947492657,649034868264558592,1788179983000,1140330319757443072,MP09ZL9990,51398000,1788231381000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788232380085}",696.8785559127286,645.535,14.242500000000291,263.96914996694267,2.445494104446832,646.8800000000047,263.96914996694267,1788179983000-649034868264558592-1140330319757443072
1494312472553717760,1788152923000-649034868264558592-1494312472553717760,1788152923000,1788210574000,3,631.8199999999999,255.123,2.476530928218937,649034868264558592,1788152923000,1494312472553717760,Mp09AZ9990,57651000,1788210574000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788210675238}",676.4668059338412,649.526,15.986388888888541,256.23742649009137,2.5348599886329133,634.9799999999814,256.23742649009137,1788152923000-649034868264558592-1494312472553717760
1268893955106275328,1788183827000-649034868264558592-1268893955106275328,1788183827000,1788240669000,3,630.96,257.454,2.4507679041692887,649034868264558592,1788183827000,1268893955106275328,MP09DE0999,56842000,1788240669000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788240945140}",680.6110246450745,645.687,15.761666666666667,257.80720630495244,2.504534334995416,633.9199999999255,257.80720630495244,1788183827000-649034868264558592-1268893955106275328
1406272050288394240,1788178568000-649034868264558592-1406272050288394240,1788178568000,1788236275000,3,630.2,254.065,2.4804675968748158,649034868264558592,1788178568000,1406272050288394240,MP09AT9000,57707000,1788236275000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788236285952}",674.2121407420765,645.515,15.995555555555256,255.38338664472593,2.5276311371733895,633.5400000000081,255.3833866447259,1788178568000-649034868264558592-1406272050288394240
1284476928488636416,1788193064000-649034868264558592-1284476928488636416,1788193064000,1788230379000,2,629.4,200.067,3.145946108053802,649034868264558592,1788193064000,1284476928488636416,MP09DJ9990,37315000,1788230379000,"{'confidence': 84.6, 'count': 32, 'error_code': None, 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': 'HIGH', 'mean': 24573.890764271644, 'std': 4290.655197507802, 'timestamp': 1788230382799}",527.7800312041559,588.342,10.299999999999272,199.91667848642265,2.942936049429999,628.7149999999674,199.91667848642265,1788193064000-649034868264558592-1284476928488636416
1561408916011614208,1788204603000-649034868264558592-1561408916011614208,1788204603000,1788243523000,2,618.93,178.529,3.4668317192164855,649034868264558592,1788204603000,1561408916011614208,MP09BP0999,38920000,1788243523000,"{'confidence': None, 'count': None, 'error_code': 'OBD_PREPROCESS_EMPTY', 'flags': {'alta-status': 'present', 'alta_partial': False, 'gps_dup_rows_count': 0}, 'load_class': None, 'mean': None, 'std': None, 'timestamp': 1788243525143}",471.3946767681046,626.293,10.78638888888895,178.5585896848881,3.507492980904771,620.5050000000047,178.5585896848881,1788204603000-649034868264558592-1561408916011614208
